card_id	card_name	rarity	image_url	attribute	atk_points	def_points	card_type	buff_effect	description
C013	バイラルウィザード	SR	/uploads/cards/C013.png	木	250	250	character	-	世界の根を支える大地の番人。 彼の手が触れる場所には秩序が戻り、 崩れた構造は再び形を取り戻す。 静かな眼差しの奥に宿るのは、 創造の基盤を守り抜く不動の意志だ。
C014	絶対解析のメタリック・アナリスト	SR	/uploads/cards/C014.png	金	250	250	character	-	無限に流れる情報の海を、 彼は冷たい光で切り裂く。 感情すら数値化するその眼は、 真理の構造を映す鏡。 世界がまだ知らぬ答えを、 彼はすでに演算している。
C015	トラブルリキッド・セイバー	SR	/uploads/cards/C015.png	水	250	250	character	-	混乱の波を切り裂き、 静寂を取り戻す水の剣士。 流れるような所作で問題を受け止め、 すべてを清らかな解決へと導く。 その一太刀は、怒りも不安も 洗い流す“安定の刃”だ。
C016	世界樹の戦略家	SSR	/uploads/cards/C016.png	木	400	400	character	-	森羅万象の流れを見通す 叡智の戦略家。無数の枝葉が データの流れとなり、 創造と成長の未来を描く。 彼の計画は森の呼吸そのものであり、 世界の均衡を導く風を生み出す。 ――世界樹の頂に立つ者、 その思考は神域に届く。
C017	バズを生む業火の使徒	SSR	/uploads/cards/C017.png	火	400	400	character	-	その声が響けば、世界が燃える。 情熱を拡散し、 群衆の心に火を点ける“拡散の預言者”。 燃え上がる情報の渦の中で、 彼は叫ぶ――「注目こそ、存在の証」 炎は止まらず、 次のトレンドを焼き尽くす。
C018	金剛不壊のITアーキテクト	SSR	/uploads/cards/C018.png	土	400	400	character	-	崩壊なき構造、それが彼の信条。 無限のコードを大地に刻み、 理想の秩序を築く創造の守護者。 彼の設計図は世界を支える礎となり、 その意志は、いかなる混沌にも ひびひとつ入らない。
C019	黄金比を操る構造設計士	SSR	/uploads/cards/C019.png	金	400	400	character	-	混沌の中から完璧を導く者。 彼の描く線は美の法則そのものであり、 世界のあらゆる形を調和へと導く。 構造は詩となり、 数式は光へと変わる―― 黄金比に選ばれし設計士、 その創造は永遠に崩れない。
C020	知識の深海王	SSR	/uploads/cards/C020.png	水	400	400	character	-	無限の情報が波のように押し寄せても、 彼はただ静かに見つめている。 沈黙こそ叡智の証。 深淵に広がるその思考の海は、 過去も未来も包み込む。 知の王が動くとき、 世界の理は静かに書き換えられる。
E101	叡知の集中	N	/uploads/cards/E101.png	-	-	-	effect	味方ATKを50アップ（1ターン）	散らばる思考を一つに束ねることで、 知の力が目覚める。 光が脳の奥で共鳴し、 瞬間的に攻撃力が高まる。 ――静寂の中に、叡智が燃える。
E102	堅実な守り	N	/uploads/cards/E102.png	-	-	-	effect	味方DEFを50アップ（1ターン）	光の壁が静かに広がり、 仲間を包み込む。 その防御陣は決して派手ではないが、 確実にすべてを守り抜く。 ――堅牢なる信頼の盾。
E103	クイック思考	R	/uploads/cards/E103.png	-	-	-	effect	味方ATKを70アップ（1ターン）	一瞬の閃きが、 迷いを断ち切る。 超高速で組み上がった攻撃プランは、 ためらいのない一撃となって放たれる。
E104	プロテクト・ウォール	R	/uploads/cards/E104.png	-	-	-	effect	味方DEFを80アップ（1ターン）	瞬時に展開される光の防御壁が、 味方を完全に包み込む。 多層バリアが衝撃を吸収し、 どれほどの攻撃もこの一瞬だけは通させない、 絶対防御の守り。
E105	全集中ブースト	SR	/uploads/cards/E105.png	-	-	-	effect	味方ATKを100アップ（1ターン）	雑念をすべて切り捨て、一点に力を絞り込む。 研ぎ澄まされた集中が攻撃衝動に火をつけ、 今この一撃だけを頂点に押し上げる、 瞬間最大出力の超強化。
E106	鋼の意思	SR	/uploads/cards/E106.png	-	-	-	effect	味方DEFを120アップ（1ターン）	揺るぎない決意が防御の力へと転じ、 精神がそのまま鋼鉄の壁となる。 一瞬の覚悟が硬度を極限まで高め、 どれほどの衝撃も受け止める、 圧倒的な意志の防護。
E107	超速習得	N	/uploads/cards/E107.png	-	-	-	effect	味方ATKを40アップ（2ターン）	光速で走る知識が、 意識に流れ込む。 理解と反応が一体化する瞬間、 攻撃は研ぎ澄まされた知の刃となる。 ――思考、最速起動。
E108	二重装甲	N	/uploads/cards/E108.png	-	-	-	effect	味方DEFを40アップ（2ターン）	二枚の光壁が重なり、 堅牢さは倍加する。 侵入を許さない二重の守りは、 仲間を確実に保護し、 戦線を揺るがぬものにする。
E109	攻防一体	R	/uploads/cards/E109.png	-	-	-	effect	味方ATK/DEFを30アップ（1ターン）	中心に集まった力が二方向へ分かれ、 攻撃の鋭さと防御の堅さを同時に引き出す。 一瞬の均衡から生まれるこの強化は、 味方の動きを研ぎ澄まし、 攻防の両面で隙のない 布陣をつくり上げる。	
E110	会心の一撃準備	SR	/uploads/cards/E110.png	-	-	-	effect	味方ATKを200アップ （1ターン、10%で失敗）	すべてをこの一撃に賭け、 力とタイミングを極限まで研ぎ澄ます。 成功すれば常識外れの破壊力となるが、 わずかな狂いで不発に終わる危うさも孕んだ、 ハイリスクな超火力ブースト。
E111	思考の錯乱	N	/uploads/cards/E111.png	-	-	-	effect	相手DEFを30ダウン（1ターン）	思考の流れに歪みが生じ、 守りの判断が揺らぐ。 混乱の波が相手の防御を崩し、 隙を生み出す一撃の布石となる。
E112	攻撃の緩み	N	/uploads/cards/E112.png	-	-	-	effect	相手ATKを30ダウン（1ターン）	力の軌跡が細くほどけ、 勢いは静かに失われていく。 攻撃の衝動が鈍ったその瞬間、 相手の刃は大きく弱まる。
E113	解析ミス	R	/uploads/cards/E113.png	-	-	-	effect	相手DEFを50ダウン（1ターン）	防御計算に紛れ込んだわずかなノイズが、 相手のシールド情報を書き換える。 誤った解析結果が隙を生み、 本来の防壁は薄まり、 攻撃を受け止めきれない 不完全な守りへと変質してしまう。
E114	タスクの遅延	R	/uploads/cards/E114.png	-	-	-	effect	相手ATKを60ダウン（1ターン）	防御計算に紛れ込んだわずかなノイズが、 小さな誤差と段取りの乱れが、 やがて大きな遅れとなって積み重なる。 狂ったタイミングは相手の攻撃のキレを奪い、 踏み込みは鈍く、放たれる一撃は 目に見えて弱まってしまう。
E115	完全遮断	SR	/uploads/cards/E115.png	-	-	-	effect	相手DEFを80ダウン（1ターン）	防御計算の根幹そのものを断ち切り、 相手の守りを強制的に崩落させる。 本来届かないはずの深層領域へ干渉し、 防壁の機能を一時的に“ゼロ”へと近づける、 強烈な防御無効化デバフ。
E116	弱点露出	SSR	/uploads/cards/E116.png	-	-	-	effect	相手ATKを100ダウン（1ターン）	隠されていた急所が、鋭い光に 照らされてあらわになる。見えてしまった隙は、 攻める側には好機となり、 攻められる側には迷いとなる。 その一瞬の動揺が、 相手の攻撃力を大きく削ぎ落とす。
E117	長期疲労	N	/uploads/cards/E117.png	-	-	-	effect	相手ATKを20ダウン（2ターン）	徐々に力が削がれ、 攻撃の勢いは緩やかに沈んでいく。 見えない疲労が相手を蝕み、 その闘志を長く弱め続ける。
E118	防御の剝奪	N	/uploads/cards/E118.png	-	-	-	effect	相手DEFを20ダウン（2ターン）	守りを覆う薄膜がひび割れ、 静かに崩れ落ちていく。 剥がれた防壁の隙間から、 相手の弱点がむき出しとなる。
E119	全能力低下	R	/uploads/cards/E119.png	-	-	-	effect	相手ATK/DEFを20ダウン（1ターン）	じわりと広がる違和感が、 相手の力を根元から削いでいく。 攻める決断も守る反応もわずかに遅れ、 その一瞬の鈍りが、攻撃と防御の 両方を確実に弱体化させる。
E120	属性無視攻撃	SR	/uploads/cards/E120.png	-	-	-	effect	相手の属性を無視して攻撃	相手を覆う属性バリアをすべて無効化し、 純粋なダメージだけを叩き込む一撃。 火も水も土も風も意味を失い、 あらゆる相性計算を飛び越えた “素の一撃”が防ぎようのない傷を刻む。
E121	自己回復ポーション	R	/uploads/cards/E121.png	-	-	-	effect	味方HPを100回復	濃縮された癒しのエネルギーが、 一滴で全身を駆け巡る。 疲労と傷をまとめて洗い流し、 次の一手へ踏み出すだけの力を 一気に取り戻させる、 高濃度の回復ポーション。
E122	クイック・ヒーリング	R	/uploads/cards/E122.png	-	-	-	effect	味方HPを150回復	瞬時に展開される治癒の光が、 傷跡をなぞるように走り抜ける。 深く刻まれた疲労すら一気に洗い流し、 わずかな間で戦線復帰できるだけの 体力を取り戻させる高速回復術。
E123	完全リフレッシュ	SR	/uploads/cards/E123.png	-	-	-	effect	味方HPを250回復	深く澱んだ疲労とダメージを、 一気に洗い流す再起動の光。 身体だけでなく意識までもクリアに整え、 再び全力で戦えるだけの力をたっぷりと 取り戻させる、強力な全身回復。
E124	緊急避難	SSR	/uploads/cards/E124.png	-	-	-	effect	味方HPを400回復	限界寸前のダメージを、 緊急展開された避難プロトコルが一気に巻き戻す。 安全圏へと退避するように、 失われた体力を一気に引き上げ、 戦線離脱寸前の仲間を 強引に立て直す超回復。
E125	小休憩	N	/uploads/cards/E125.png	-	-	-	effect	味方HPを50回復	柔らかな光が傷を癒し、 心を整える。 戦いの合間のひと呼吸が、 ふたたび動き出す力を与えてくれる。
E126	デバフ解除	SR	/uploads/cards/E126.png	-	-	-	effect	味方のデバフを解除	まとわりつく不利な効果を一つずつほどき、 正常な状態へ巻き戻す浄化の術。 重ね掛けされた弱体も、 この光に触れた瞬間すべてリセットされ、 本来の力をそのまま発揮できるようになる。	
E127	集中回復	R	/uploads/cards/E127.png	-	-	-	effect	味方HPを80回復し、次のATKアップ	無駄な力を手放し、 一点に意識を集めることで、 体力と気力を同時に整える。 傷を癒やしながら次の一撃に備えるこの術は、 回復と攻撃準備を一つにまとめた “攻めへつなぐヒール”である。
E128	学習ログ復元	SR	/uploads/cards/E128.png	-	-	-	effect	カードを1枚引く	失われた記録を深層から呼び戻し、 新たな一手につながる“気づき”を取り戻す。 過去の履歴が再構築されるとともに、 次に役立つ情報が手元へ導かれる、 知識再取得のスキル。
E129	チーム応援	N	/uploads/cards/E129.png	-	-	-	effect	味方HPを50回復し、相手にデバフ	仲間へ向けられた声援の波が、 体と心をそっと支える。 その高まる士気は、 やがて相手への圧力となり、 じわりと動きを鈍らせていく。
E130	HPドレイン	SR	/uploads/cards/E130.png	-	-	-	effect	相手HPを100吸収して回復	相手から生命力だけを正確に抜き取り、 自身の傷を埋める逆転の吸収術。 奪うほどにこちらは回復し、 相手は目に見えて弱っていく、 一撃で流れを変える リスキーなライフシフト。
E131	遅延の罠	R	/uploads/cards/E131.png	-	-	-	effect	相手ATKを50ダウン	今はまだ何も起きない。だが、 仕掛けられた遅延の罠は、 相手が次の一手を放つ瞬間に牙をむく。 踏み出した攻撃の勢いを絡め取り、 その力を大きく削ぐ、 タイミング狙いの弱体トリック。	
E132	行動キャンセル	SSR	/uploads/cards/E132.png	-	-	-	effect	相手の効果カードの 発動をキャンセル	組み上がった効果式を強制的に巻き戻し、 その発動自体をなかったことにする。 相手が切った一手 空振りへと変え、 流れをこちらへ引き戻す、 決定打級の制止カード。
E133	カウンター準備	SR	/uploads/cards/E133.png	-	-	-	effect	受けたダメージの50%を反射	あえて一撃を受け、 その軌跡と衝撃をすべて記録する。 蓄えられたダメージは鋭い反撃エネルギーへと 変換され、次の瞬間、受けた痛みの半分が そのまま相手へ跳ね返る。
E134	防御シールド	SSR	/uploads/cards/E134.png	-	-	-	effect	受けるダメージを 50%軽減（1ターン）	多重展開された光の盾が攻撃の 衝撃を分散させ、致命傷となる 一撃を半分以下へと抑え込む。 この一瞬だけ、味方は厚いシールドに守られた、 安全圏の中で行動できる。
E135	属性反転	SSR	/uploads/cards/E135.png	-	-	-	effect	相手の属性相性を反転	世界のルールそのものに干渉し、 相手の属性相性を逆さまに書き換える。 本来有利だったはずの属性は一転して弱点となり、 頼みの綱だった耐性は、 そのまま致命的な隙へと変わってしまう。
E136	思考ロック	SSR	/uploads/cards/E136.png	-	-	-	effect	相手の行動を通常攻撃に固定	多様な行動パターンを封じ、 思考を一つのルートに固定する拘束スクリプト。 高度な戦術もスキルも使えず、 相手は単純な通常攻撃しか選べなくなる、 戦略ごと縛り上げる制圧コード。
E137	ダメージ吸収	SR	/uploads/cards/E137.png	-	-	-	effect	受けたダメージの分HPを100回復	迫る一撃をそのまま糧へと変換し、 傷つくはずの分だけ生命力を取り戻す。 本来なら削られるダメージが回復へと反転し、 痛みそのものが回復源となる逆転の防御術。
E138	数値変動トラップ	R	/uploads/cards/E138.png	-	-	-	effect	相手ATK/DEFを20ダウン（2ターン）	踏み込んだ瞬間に作動する揺らぎの罠が、 相手の攻撃と防御のバランスを狂わせる。 数値の基盤そのものが乱れ、力は削がれ、 守りはゆるむ—— じわじわと効き続ける継続弱体の仕掛け。
E139	AIエラー誘発	SR	/uploads/cards/E139.png	-	-	-	effect	相手の行動を10%の確率で失敗させる	ごくわずかなノイズを紛れ込ませ、 相手の判断プロセスに見えないひずみを生む。 平常時なら成功する行動も、 十分の一の確率で処理落ちし、 空振りとなる危険なバグ誘発スキル。
E140	勝利への布石	SR	/uploads/cards/E140.png	-	-	-	effect	次のターン、味方ATKを100アップ	今はまだ小さな仕掛けにすぎない。 だが、この一手が次の瞬間に大きな力へと変わり、 味方の攻撃を確実に押し上げる。 勝利をつかむための伏線が、 静かに未来へと組み上がっていく。
E141	暗号化された煤	N	/uploads/cards/E141.png	-	-	-	effect	回復スキルの効果が僅かに減る。（1ターン）	ナノマシンを含む煤煙が知覚回路を汚染する、アジトの防衛機構。蒸気とノイズが混じり合うその黒煙は敵味方の識別信号すらも等しく侵食し、孤立させる。
E142	炭塵爆発	N	/uploads/cards/E142.png	-	-	-	effect	「回避率」を4%低下させる。（1ターン）	アジトに溜まった炭塵が電子火花と連鎖反応を起こす。物理的な爆風とデジタルノイズが空間を焼き、物質とデータの境界を曖昧に溶かし去る。
E143	回路の縫い目	N	/uploads/cards/E143.png	-	-	-	effect	味方単体の「麻痺」状態を低確率で解除する。	断線した基板を導電糸で縫合し、伝達を再開させる。真鍮の肌を銀の針が走り、損なわれた神経系に再び律動を灯す。その継ぎ目は、稼働し続けた証となる。
E144	蒸気の翼	N	/uploads/cards/E144.png	-	-	-	effect	攻撃速度が4％上がる（1ターン）	背部から噴す高圧蒸気が重力を軽減し、空中制動を可能にする。噴出した熱は傷口を瞬時に焼灼し、出血を止める応急処置としても機能する。
E145	青光の歯車	N	/uploads/cards/E145.png	-	-	-	effect	移動速度を低下させる。（１ターン）	真鍮の回転がデジタル信号を誘発し、空間に青いノイズを放つ。物理的な摩擦を情報の遅延へと書き換え、敵の挙動を仮想の論理で縛り付ける。
E146	真鍮の残響	N	/uploads/cards/E146.png	-	-	-	effect	命中率を４%低下させる。（１ターン）	真鍮の軋みをAIがデジタル変調し拡散する。実体のない歯車音はノイズへと姿を変え、敵対者の索敵網を白く塗り潰していく。
E147	冷却回路	N	/uploads/cards/E147.png	-	-	-	effect	火属性の攻撃を僅かに減少させる。	循環液の沸点を最適化し、外部熱を効率的に吸収・廃棄する。火炎の直撃を緩和し、蒸気と電子が混在する回路の焼損を最小限に食い止める。
E148	黄銅の盾	N	/uploads/cards/E148.png	-	-	-	effect	低確率でダメージを軽減する（１ターン）	真鍮の隙間から漏れる蒸気が、稀に敵の攻撃軌道を逸らす。不安定な圧力制御が物理干渉を引き起こし、致命的な損壊を最小限に抑え込む。
E149	ゼンマイの軋み	N	/uploads/cards/E149.png	-	-	-	effect	低確率で相手を麻痺させる。（１ターン）	錆びたゼンマイの軋みが電子回路に干渉し、物理的な共振を引き起こすことで、稀に対象の駆動ユニットを一時的に麻痺させ、その行動を封じる。
E150	閃光の排熱	R	/uploads/cards/E150.png	-	-	-	effect	相手を混乱状態にさせる。（２ターン）	瞬間的な冷却放出が、周囲のサーマルセンサーを一時的に混乱させる。過熱した回路が放つ青白い閃光が、機械の眼を欺き、隠密行動を完遂させる。
E151	鉄の再起	R	/uploads/cards/E151.png	-	-	-	effect	対象が機械の場合、そこそこ継続回復を付与する。（２ターン）	破損箇所へ予備歯車が自動集結し、機構を再構築する。対象が機械種ならば、漏れ出す電子信号を修復コードへと変換し、一時的な自己再生を促す。
E152	狂った羅針盤	R	/uploads/cards/E152.png	-	-	-	effect	味方単体に攻撃力アップ（２ターン）	指針を逆振させ安全装置を物理破壊する。磁場情報の暴走は味方のリミッターを焼き切り、２ターンの間、機体に破壊的な過負荷出力を強制する。
E153	影のボルト	R	/uploads/cards/E153.png	-	-	-	effect	相手の光属性攻撃を減少させる。（２ターン）	光を喰らう特殊合金のボルトが、着弾と同時にナノマシンを展開。周囲の光子を熱へと変換し、光学兵器の出力を物理的に減衰させ、標的を闇に沈める。
E154	継続の排熱	R	/uploads/cards/E154.png	-	-	-	effect	相手の攻撃を10%反射する（1ターン）	過加速する演算が放つ廃熱は、侵入者の回路を焼き尽くす。攻撃の衝撃を熱伝導へと変換し、その身に致命的な熱暴走を強制する。
E155	幻影のマント	R	/uploads/cards/E155.png	-	-	-	effect	毒ダメージを無効化させる（2ターン）	高密度の蒸気とホログラムが、装着者の生体サインを偽装し攪拌する。ナノマシンが毒素を中和し、物理・電子的な汚染から機体を完全に保護する。
E156	閃光の歯車	R	/uploads/cards/E156.png	-	-	-	effect	相手の闇属性攻撃を減少させる。（２ターン）	超高速回転が生む高電圧の火花が、周囲の虚無を焼き払う。その眩い閃光は、深淵より来たる闇の干渉を減衰させる。
E157	水銀の鏡像	R	/uploads/cards/E157.png	-	-	-	effect	相手に毒ダメージを与える（２ターン）	流動する銀の残像が敵を幻惑する。同時に飛散した重金属粒子が排熱孔を通りシステムを汚染。回路の腐食を招き、致命的な毒ダメージを与える。
E158	液化する情報	R	/uploads/cards/E158.png	-	-	-	effect	対象のカード情報を阻害する（２ターン）	高圧で液状化したデータが敵回路へ流入。視界を侵食するノイズが情報の解読を阻害し、論理的な認識を物理的に困難にさせる。
E159	剛鉄の雨	R	/uploads/cards/E159.png	-	-	-	effect	全体に１０ダメージを与える。（１ターン）	冷却水の霧が熱源センサーを飽和させ、帯電した滴が回路を焼き切る。戦場の全域に及ぶ物理とデジタルの衝撃が、敵陣営の機能を一律に削ぎ落とす。
E160	バックアップ	R	/uploads/cards/E160.png	-	-	-	effect	味方単体にかなり回復させる。	物理メモリに刻まれた無傷の状態を蒸気圧で強制復元する。味方単体を大幅に修復するが、過負荷による深刻な回路熱が、一時的に対象の全出力を低下させる。
E161	同期する鼓動	R	/uploads/cards/E161.png	-	-	-	effect	良いデバフを共有する（2ターン）	損傷したバイナリを物理的な振動として共有する。個々の回路が受ける負荷は、同期する歯車を介して、全機能を拡張するための律動に変換される。
E162	高圧の論理弾	R	/uploads/cards/E162.png	-	-	-	effect	全体を火傷状態にし10ダメージ（2ターン）	高圧蒸気と侵食コードを散布し、敵陣営の全回路を加熱させる。過負荷による火傷状態を誘発し、持続的に10の構造ダメージを与える。
E163	雷電の圧力釜	R	/uploads/cards/E163.png	-	-	-	effect	攻撃対象をランダム化（２ターン）	噴出する帯電蒸気が視覚センサーを飽和させ、座標認識を物理的に破壊する。視界がノイズに染まり、狙いは不確かな虚空へと逸れていく。
E164	圧力式防壁	R	/uploads/cards/E164.png	-	-	-	effect	味方全体に防御力アップ（２ターン）	真鍮の排気孔から噴き出す高圧蒸気が、電子演算によるシールドを形成。物理的な衝撃と不正アクセスを同時に遮断し、拠点の守りを盤石なものにする。
E165	背水の陣	R	/uploads/cards/E165.png	-	-	-	effect	体力が低いほど攻撃力が上昇する	装甲パージを実行し、全蒸気圧を駆動系へ転送。AIが先制演算を完了させる。防御機能を排したその一撃は、回路が焼き切れる寸前の閃光を放つ。
E166	無限の駆動軸	SR	/uploads/cards/E166.png	-	-	-	effect	対象を混乱させ自分を攻撃する（2ターン）	止まらぬ回転が電子回路に摩擦熱を強制し、論理を焼き切る。熱暴走した標的は敵の識別を失い、隣り合う自分を解体し始める。
E167	共鳴する絶望	SR	/uploads/cards/E167.png	-	-	-	effect	相手に与えたダメージが自分にも同じダメージを受ける	蒸気と歯車が軋む深層で、AIが解析した負の感情がノイズと化す。共鳴の果てに回路は焼け、デジタルな絶望がアジトの静寂を侵食する。
E168	断罪の福音	SR	/uploads/cards/E168.png	-	-	-	effect	相手のデバフ数につき、味方全体のHPと状態異常を回復。	高圧蒸気が演算回路を加速させ、対象の罪数に応じた浄化コードを展開する。蓄積された負の歯車を逆転させ、全機構の損耗と不全を即座に修復する。
E169	闇の契約	SR	/uploads/cards/E169.png	-	-	-	effect	対象の攻撃力を上昇させるが防御力と体力が低下する。	蒸気と電子が火花を散らす禁忌の増設。中枢AIのリミッターを解除し攻撃出力を極大化するが、引き換えに装甲と機体構造を限界まで摩耗させる。
E170	妖精の悪戯	SR	/uploads/cards/E170.png	-	-	-	effect	相手のカードを全てシャッフルさせ再配置させる。	蒸気の噴出と共にデジタルノイズが走動し、全カードの位相を強制的に書き換える。真鍮の規律は崩れ、再配置された盤面には新たな因果が刻まれる。
E171	適応する装甲	SR	/uploads/cards/E171.png	-	-	-	effect	属性攻撃を受けると体力を50回復する（2ターン）	属性攻撃を歯車の回転へ変換。錆びた装甲がエネルギーを吸い込むたび、蒸気の脈動と共に機体強度が規定値まで回復する。
E172	不完全な外殻壁	SR	/uploads/cards/E172.png	-	-	-	effect	異常状態攻撃を無効にする　25%の確率で失敗する。	蒸気機関とAIが同期し、外敵の干渉を遮断する。異常な信号を物理的に排斥するが、回路の加熱により25%の確率で演算が停止する。
E173	ステータス反転	SR	/uploads/cards/E173.png	-	-	-	effect	対象の攻撃力と防御力の数値を入れ替える。（2ターン）	鏡合わせの呪いをかけ、あらゆる事象を「あべこべ」に作り変える。強者は脆く、救いは牙となり、戦場に奇妙な混沌をもたらす。
E174	蒸気駆動の残像	SR	/uploads/cards/E174.png	-	-	-	effect	25%の確率で敵の攻撃を無効化する。	高圧蒸気の噴射と同時に機体を加速。排熱による陽炎と電子ノイズが視覚を攪乱し、四分の一の確率で敵の攻撃を無効化する。
E175	油まみれの暗号化	SR	/uploads/cards/E175.png	-	-	-	effect	対象者のデバフを全て消し防御力ダウンさせる（2ターン）	物理的な油膜で既存の回路を上書きし、全状態異常を清算。同時に装甲の接合部を融解させ、耐久性を大幅に削ぎ落とす。
E176	浄化の波動	SSR	/uploads/cards/E176.png	-	-	-	effect	対象に付いている悪いデバフを全て解除する。	計算され尽くした波形が、あらゆる無秩序を秩序へ変える。数学的な美しさが、非論理的なデバフを根源から消滅させる。
E177	クロノス・コア	SSR	/uploads/cards/E177.png	-	-	-	effect	自分のターンを２ターンにする。	高圧蒸気で加速した演算が時を歪め、二度の旋律を刻む。歯車の回転が止まるまで、相手に明日は訪れない。
E178	終末の強制介入	SSR	/uploads/cards/E178.png	-	-	-	effect	相手の攻撃力、防御力を50低下させ全デバフを解除させる。	全回路は強制停止する。 対象の攻撃力・防御力を50減衰させ、既存の全デバフを消去。 残るは、静寂と冷徹な初期値のみ。
E179	スチーム・コア	SSR	/uploads/cards/E179.png	-	-	-	effect	対象の体力を100回復させ一度だけ相手の攻撃を無効化	高圧蒸気による生体修復と同時に、電脳障壁を展開する。過熱した回路が冷却されるまでの一度だけ、機体は絶対的な静寂に包まれる。
E180	思考誘導	SSR	/uploads/cards/E180.png	-	-	-	effect	相手が出しているカードを別のとランダムで交換させ再配置させる。	不可視の信号が敵陣の回路を侵食する。配置された演算リソースを強制的に解体、ランダムな異物と置換し、構築された戦略を根底から狂わせる。
C021	火守のハウンド	N	/uploads/cards/C021.png	火	100	100	character	-	蒸気機関の廃熱で動く、自律AI搭載の猟犬種。全身の歯車から火花を散らし、電脳空間の侵入者を物理的に排除する。錆びついた真鍮の牙には、過熱した高圧蒸気が常に循環し、侵入者のログごと噛み砕き、消去する。
C022	荒海のイッカク騎士	N	/uploads/cards/C022.png	水	100	100	character	-	雲の隙間から光差す嵐の海を支配する孤高の騎士。その鋭利な角槍は荒波の魔力を纏い、立ちはだかる邪悪を容赦なく貫き、砕く。波濤に揉まれし岩礁に立ち、海の平穏を乱す不届き者を一突きで地の底へ沈める戦士なり。
C023	樹界の防壁 ガイア	N	/uploads/cards/C023.png	木	100	100	character	-	深い森に棲む樹皮の鱗を持つ竜。翼を持たず大地を歩み、その尻尾には色とりどりのキノコや青草が茂る。木製の剣と盾を携え森を巡るが、決して争わず豊かな種を撒く。命を育むことに専念する、心優しき森の守護者。
C024	ゴールドゴブリン	N	/uploads/cards/C024.png	金	100	100	character	-	金属性の自律人形。スチームパンクの蒸気機関とサイバーパンクの電子回路が融合した、この秘密基地の守護者である。左手に握られた金鉱石は、基地の演算能力を高める重要な触媒であり、絶えぬ駆動音が静かに響く。
C025	砂塵の亡霊	N	/uploads/cards/C025.png	土	100	100	character	-	廃棄エリアの砂塵に消去データの残滓が宿り、実体を得た亡霊。砂のフードに潜む双眸が鋭く光り、周囲には浮遊する石と錆びた歯車が渦巻く。荒野を彷徨い、デジタルと物質が混ざり合う境界を守る、不気味な守護者だ。
